trade_num,timestamp_utc,timestamp_est,track,side,qty,entry_price,sl_price,tp_price,exit_price,duration_sec,gross_pnl,commission,net_pnl,balance,buffer_to_floor,outcome
98,2026-09-04 19:21:20,03:21:20 PM,Track A,BUY,0.1,4427.81,4427.66,4429.81,4428.56,71,7.50,0.70,6.80,5559.96,859.96,RATCHET_WIN
99,2026-09-04 19:25:20,03:25:20 PM,Track A,BUY,0.1,4431.40,4431.25,4433.40,4431.25,25,-1.50,0.70,-2.20,5557.76,857.76,STOP_LOSS
100,2026-09-04 19:30:32,03:30:32 PM,Track A,BUY,0.1,4435.47,4435.32,4437.47,4435.32,2,-1.50,0.70,-2.20,5555.56,855.56,STOP_LOSS
101,2026-09-04 19:36:20,03:36:20 PM,Track A,BUY,0.1,4436.92,4436.77,4438.92,4437.67,36,7.50,0.70,6.80,5562.36,862.36,RATCHET_WIN
102,2026-09-04 19:40:21,03:40:21 PM,Track A,BUY,0.1,4436.47,4436.32,4438.47,4436.54,32,0.70,0.70,0.00,5562.36,862.36,BE_PROTECTED
103,2026-09-04 19:45:27,03:45:27 PM,Track A,BUY,0.1,4437.19,4437.04,4439.19,4437.04,7,-1.50,0.70,-2.20,5560.16,860.16,STOP_LOSS
104,2026-09-04 19:51:20,03:51:20 PM,Track A,BUY,0.1,4435.37,4435.22,4437.37,4435.22,4,-1.50,0.70,-2.20,5557.96,857.96,STOP_LOSS
105,2026-09-04 19:57:38,03:57:38 PM,Track A,BUY,0.1,4433.22,4433.07,4435.22,4433.97,36,7.50,0.70,6.80,5564.76,864.76,RATCHET_WIN
106,2026-09-04 20:02:26,04:02:26 PM,Track A,BUY,0.1,4433.76,4433.61,4435.76,4434.51,35,7.50,0.70,6.80,5571.56,871.56,RATCHET_WIN
107,2026-09-04 20:47:28,04:47:28 PM,Track A,SELL,0.1,4429.22,4429.37,4427.22,4429.15,304,0.70,0.70,0.00,5571.56,871.56,BE_PROTECTED
108,2026-09-04 20:54:23,04:54:23 PM,Track A,SELL,0.1,4429.80,4429.95,4427.80,4429.95,21,-1.50,0.70,-2.20,5569.36,869.36,STOP_LOSS
